iter	Passed	Remaining
0	10	5486
1	23	5768
2	33	5506
3	43	5337
4	52	5171
5	61	5058
6	71	5058
7	81	4997
8	91	5004
9	100	4945
10	111	4952
11	120	4903
12	129	4863
13	139	4832
14	148	4798
15	156	4732
16	164	4671
17	174	4664
18	182	4632
19	191	4586
20	199	4543
21	206	4490
22	214	4444
23	223	4426
24	232	4415
25	241	4405
26	249	4362
27	260	4386
28	281	4570
29	295	4625
30	334	5063
31	363	5315
32	380	5391
33	393	5396
34	406	5397
35	422	5439
36	434	5441
37	445	5416
38	455	5382
39	464	5341
40	473	5303
41	484	5278
42	494	5255
43	505	5235
44	518	5240
45	527	5206
46	536	5175
47	546	5147
48	557	5128
49	566	5094
50	567	4994
51	577	4978
52	586	4949
53	595	4922
54	605	4895
55	614	4874
56	624	4850
57	633	4825
58	644	4816
59	654	4801
60	664	4782
61	674	4763
62	684	4747
63	693	4723
64	703	4707
65	713	4689
66	722	4667
67	732	4653
68	742	4639
69	752	4621
70	761	4601
71	771	4587
72	780	4568
73	790	4550
74	799	4532
75	809	4514
76	818	4495
77	836	4526
78	847	4515
79	859	4510
80	868	4492
81	879	4481
82	889	4470
83	900	4461
84	910	4447
85	921	4435
86	931	4420
87	941	4407
88	952	4396
89	963	4387
90	974	4379
91	984	4366
92	995	4356
93	1007	4350
94	1016	4333
95	1026	4317
96	1035	4303
97	1045	4289
98	1055	4274
99	1066	4266
100	1077	4255
101	1086	4240
102	1095	4223
103	1104	4205
104	1113	4189
105	1123	4174
106	1131	4157
107	1141	4142
108	1149	4125
109	1158	4108
110	1168	4094
111	1178	4083
112	1187	4066
113	1197	4055
114	1207	4043
115	1217	4029
116	1226	4015
117	1236	4003
118	1249	4001
119	1262	3997
120	1273	3990
121	1285	3982
122	1307	4007
123	1322	4011
124	1334	4003
125	1347	4000
126	1362	4000
127	1373	3992
128	1384	3981
129	1395	3972
130	1406	3960
131	1415	3945
132	1424	3931
133	1435	3919
134	1445	3908
135	1454	3893
136	1464	3879
137	1473	3866
138	1482	3851
139	1493	3841
140	1503	3827
141	1512	3813
142	1521	3799
143	1531	3786
144	1541	3773
145	1550	3760
146	1560	3746
147	1570	3734
148	1579	3720
149	1590	3710
150	1599	3697
151	1608	3683
152	1617	3668
153	1627	3656
154	1638	3647
155	1652	3643
156	1665	3638
157	1676	3629
158	1685	3615
159	1694	3601
160	1704	3589
161	1713	3575
162	1723	3563
163	1732	3549
164	1742	3537
165	1750	3523
166	1760	3511
167	1770	3498
168	1779	3485
169	1788	3471
170	1799	3461
171	1808	3448
172	1818	3437
173	1828	3426
174	1838	3413
175	1847	3400
176	1858	3392
177	1868	3379
178	1878	3368
179	1886	3354
180	1896	3343
181	1908	3334
182	1918	3323
183	1926	3309
184	1934	3294
185	1942	3279
186	1950	3265
187	1959	3252
188	1968	3239
189	1975	3223
190	1984	3210
191	1992	3195
192	1999	3181
193	2009	3170
194	2018	3157
195	2026	3143
196	2036	3131
197	2043	3117
198	2052	3104
199	2059	3089
200	2067	3076
201	2075	3061
202	2083	3048
203	2091	3035
204	2098	3020
205	2107	3008
206	2117	2997
207	2126	2984
208	2133	2970
209	2140	2956
210	2149	2943
211	2156	2929
212	2164	2915
213	2172	2902
214	2180	2890
215	2187	2876
216	2195	2863
217	2203	2850
218	2211	2837
219	2219	2825
220	2232	2818
221	2306	2887
222	2325	2888
223	2335	2877
224	2346	2867
225	2356	2856
226	2365	2844
227	2375	2833
228	2386	2824
229	2395	2812
230	2404	2800
231	2412	2786
232	2420	2773
233	2428	2760
234	2437	2748
235	2445	2735
236	2454	2723
237	2463	2711
238	2472	2699
239	2480	2686
240	2488	2674
241	2497	2662
242	2506	2650
243	2513	2637
244	2523	2626
245	2531	2613
246	2541	2603
247	2550	2591
248	2559	2579
249	2566	2566
250	2574	2553
251	2583	2542
252	2592	2530
253	2600	2518
254	2608	2506
255	2616	2493
256	2625	2482
257	2636	2472
258	2644	2461
259	2653	2449
260	2662	2438
261	2672	2428
262	2681	2416
263	2689	2404
264	2697	2392
265	2705	2380
266	2714	2368
267	2722	2356
268	2732	2346
269	2740	2334
270	2748	2322
271	2756	2310
272	2764	2298
273	2771	2286
274	2780	2275
275	2790	2265
276	2800	2254
277	2810	2244
278	2820	2233
279	2828	2222
280	2837	2211
281	2847	2201
282	2860	2193
283	2871	2183
284	2879	2172
285	2890	2162
286	2899	2152
287	2908	2141
288	2917	2129
289	2924	2117
290	2934	2107
291	2942	2095
292	2950	2084
293	2957	2072
294	2965	2060
295	2973	2049
296	2983	2039
297	2991	2027
298	3000	2016
299	3009	2006
300	3018	1995
301	3027	1984
302	3034	1973
303	3042	1961
304	3052	1951
305	3060	1940
306	3068	1929
307	3076	1918
308	3084	1906
309	3094	1896
310	3102	1885
311	3111	1874
312	3119	1863
313	3129	1853
314	3138	1842
315	3146	1831
316	3154	1821
317	3161	1809
318	3169	1798
