feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae,total_return,sharpe,max_drawdown,win_rate
price_only,3,0.01,3.0,0.5592,-0.0143,0.0314,0.533,-0.0206,0.0204,0.5427,1.2964,-0.2379,0.3886
price_vader,3,0.03,3.0,0.5545,-0.0566,0.0318,0.5142,-0.033,0.0203,0.5683,1.4036,-0.2756,0.346
price_finbert,4,0.01,10.0,0.5545,-0.0131,0.0315,0.5094,-0.0176,0.0203,0.5776,1.2932,-0.3736,0.4123
price_roberta,3,0.01,3.0,0.5545,-0.0191,0.0314,0.5377,-0.0186,0.0203,0.5188,1.1642,-0.3524,0.4645
all_features,2,0.03,10.0,0.5498,-0.0232,0.0316,0.5377,-0.0155,0.0203,0.2075,0.6753,-0.4715,0.4929
price_vader,3,0.03,5.0,0.5498,-0.0445,0.0316,0.533,-0.0222,0.0203,0.6471,1.4706,-0.3127,0.3697
price_finbert,6,0.03,1.0,0.5498,-0.0779,0.0323,0.4623,-0.0516,0.0207,0.2892,0.9138,-0.207,0.3128
price_vader,2,0.05,1.0,0.545,-0.0925,0.0323,0.5047,-0.0282,0.0203,0.2997,0.9367,-0.2669,0.3081
price_vader,3,0.01,10.0,0.545,-0.0061,0.0312,0.5283,-0.0131,0.0203,0.509,1.1543,-0.326,0.4597
price_roberta,2,0.01,1.0,0.545,-0.0149,0.0314,0.5377,-0.012,0.0202,0.4131,0.9973,-0.3793,0.4882
price_roberta,3,0.03,10.0,0.545,-0.0523,0.0319,0.5047,-0.01,0.0202,0.2342,0.7459,-0.3852,0.4076
price_finbert,6,0.01,10.0,0.545,-0.0194,0.0315,0.5142,-0.0171,0.0203,0.162,0.6036,-0.4115,0.3934
all_features,4,0.05,1.0,0.545,-0.0937,0.0325,0.4811,-0.0853,0.0211,0.1639,0.6508,-0.3307,0.2796
price_only,2,0.01,5.0,0.545,-0.0123,0.0313,0.5236,-0.0181,0.0203,0.598,1.299,-0.3104,0.436
price_vader,2,0.05,10.0,0.545,-0.0624,0.0318,0.5142,-0.0275,0.0204,0.2094,0.709,-0.2884,0.3602
price_vader,4,0.03,1.0,0.545,-0.058,0.0321,0.4717,-0.0508,0.0207,0.6214,1.5273,-0.2596,0.3081
price_vader,4,0.01,10.0,0.5403,-0.0052,0.0313,0.5142,-0.012,0.0203,0.6214,1.327,-0.3543,0.4408
price_vader,3,0.05,10.0,0.5403,-0.0513,0.0316,0.5094,-0.0254,0.0203,0.3085,0.9344,-0.2435,0.327
price_only,2,0.05,10.0,0.5403,-0.0847,0.0322,0.5283,-0.0062,0.0202,0.2734,0.8649,-0.2293,0.3318
price_vader,3,0.03,10.0,0.5403,-0.0343,0.0317,0.5189,-0.0147,0.0202,0.3619,0.9886,-0.3345,0.3744
price_vader,3,0.01,3.0,0.5403,-0.0086,0.0313,0.5142,-0.0174,0.0203,0.5217,1.1827,-0.3337,0.4455
price_only,3,0.01,10.0,0.5403,-0.0104,0.0313,0.5094,-0.0185,0.0203,0.5104,1.2047,-0.2681,0.3886
price_only,3,0.01,5.0,0.5403,-0.0126,0.0314,0.5377,-0.0195,0.0203,0.3895,1.0354,-0.2681,0.3886
price_roberta,3,0.03,5.0,0.5403,-0.0737,0.0323,0.5047,-0.0187,0.0203,0.1585,0.6069,-0.3445,0.3365
price_only,2,0.01,10.0,0.5403,-0.0099,0.0313,0.5,-0.0178,0.0203,0.5247,1.1985,-0.3193,0.4313
price_only,2,0.01,3.0,0.5403,-0.0131,0.0314,0.5142,-0.0189,0.0203,0.5823,1.2773,-0.3104,0.4313
price_vader,4,0.03,10.0,0.5403,-0.0378,0.0318,0.5283,-0.0206,0.0202,0.4888,1.2297,-0.2781,0.3507
price_vader,2,0.01,5.0,0.5403,-0.0081,0.0313,0.5377,-0.0127,0.0203,0.466,1.0744,-0.3698,0.4882
price_only,3,0.01,1.0,0.5355,-0.0175,0.0314,0.5283,-0.0212,0.0204,0.2173,0.7281,-0.274,0.3697
price_vader,4,0.05,5.0,0.5355,-0.0727,0.0321,0.4906,-0.0481,0.0204,0.1077,0.5006,-0.2635,0.2749
price_vader,4,0.01,3.0,0.5355,-0.0135,0.0315,0.5472,-0.0191,0.0203,0.6913,1.4461,-0.3141,0.3886
price_vader,3,0.01,1.0,0.5355,-0.0132,0.0313,0.5142,-0.019,0.0204,0.6061,1.3188,-0.2749,0.4171
price_vader,2,0.03,5.0,0.5355,-0.0376,0.0315,0.5047,-0.0251,0.0203,0.1496,0.5847,-0.3916,0.3886
price_vader,8,0.01,1.0,0.5308,-0.0207,0.0317,0.5,-0.0373,0.0205,0.6232,1.4206,-0.2804,0.3318
price_vader,8,0.05,10.0,0.5308,-0.0486,0.0322,0.4528,-0.0796,0.021,0.6138,1.5061,-0.2323,0.3081
price_finbert,8,0.05,3.0,0.5308,-0.0705,0.0321,0.5,-0.0325,0.0205,0.1989,0.7223,-0.2508,0.2938
price_finbert,6,0.01,5.0,0.5308,-0.0314,0.0318,0.5047,-0.0195,0.0203,0.2713,0.8285,-0.3349,0.3555
price_finbert,4,0.01,3.0,0.5308,-0.0223,0.0317,0.5047,-0.0198,0.0204,0.3494,0.9708,-0.33,0.3649
price_only,8,0.01,5.0,0.5308,-0.0288,0.0316,0.4953,-0.0338,0.0204,0.2665,0.8236,-0.2817,0.327
price_vader,3,0.01,5.0,0.5308,-0.0084,0.0313,0.5094,-0.0157,0.0203,0.3772,0.9607,-0.3899,0.4408
price_vader,4,0.01,5.0,0.5308,-0.0119,0.0314,0.5425,-0.014,0.0203,0.6006,1.3076,-0.2999,0.4076
price_vader,3,0.05,5.0,0.5308,-0.0876,0.0322,0.5047,-0.0382,0.0205,0.2269,0.7653,-0.2869,0.3223
price_vader,4,0.03,5.0,0.5308,-0.0622,0.032,0.5142,-0.034,0.0203,0.3771,1.0922,-0.2512,0.3128
price_only,4,0.01,10.0,0.5308,-0.0135,0.0314,0.5142,-0.0218,0.0203,0.3869,1.0227,-0.2735,0.3602
all_features,2,0.03,5.0,0.5308,-0.0378,0.0319,0.4953,-0.0208,0.0205,-0.0118,0.2502,-0.5369,0.4076
price_vader,2,0.05,3.0,0.5308,-0.0932,0.0324,0.4953,-0.0249,0.0203,0.2072,0.7329,-0.2507,0.3033
price_finbert,4,0.03,1.0,0.5308,-0.0782,0.0322,0.4717,-0.0406,0.0206,0.1711,0.6526,-0.3389,0.3081
price_roberta,3,0.01,10.0,0.5308,-0.0132,0.0314,0.533,-0.0145,0.0202,0.1963,0.6581,-0.4232,0.4692
price_vader,2,0.01,3.0,0.5308,-0.0093,0.0313,0.5283,-0.0133,0.0203,0.2823,0.8001,-0.3943,0.4739
price_only,8,0.05,10.0,0.5261,-0.0776,0.0324,0.4858,-0.0669,0.0209,0.5052,1.2855,-0.2833,0.2891
price_vader,2,0.03,10.0,0.5261,-0.0255,0.0315,0.4953,-0.025,0.0204,0.1606,0.5999,-0.3734,0.4123
price_only,2,0.01,1.0,0.5261,-0.0184,0.0314,0.5142,-0.0202,0.0203,0.4148,1.0301,-0.3684,0.4218
price_only,6,0.01,3.0,0.5261,-0.041,0.0319,0.4906,-0.0317,0.0204,0.2043,0.7112,-0.2236,0.327
price_only,3,0.05,10.0,0.5261,-0.0896,0.0321,0.4906,-0.0178,0.0203,0.1649,0.6265,-0.2448,0.3033
price_vader,4,0.05,10.0,0.5261,-0.0825,0.0323,0.4953,-0.047,0.0205,0.0863,0.4471,-0.3421,0.2891
all_features,4,0.01,1.0,0.5261,-0.022,0.0316,0.5142,-0.0208,0.0204,0.3062,0.8488,-0.4755,0.4313
price_roberta,3,0.01,5.0,0.5261,-0.017,0.0314,0.5236,-0.0157,0.0203,0.1303,0.542,-0.4673,0.4645
price_finbert,4,0.01,1.0,0.5261,-0.0266,0.0317,0.4953,-0.0206,0.0204,0.2623,0.8253,-0.3247,0.3507
price_roberta,3,0.01,1.0,0.5261,-0.0237,0.0315,0.5236,-0.0197,0.0203,0.2567,0.7666,-0.4459,0.4313
price_finbert,3,0.01,5.0,0.5261,-0.0107,0.0315,0.5189,-0.0139,0.0203,0.4731,1.1187,-0.3675,0.4313
price_only,2,0.03,5.0,0.5261,-0.0771,0.0321,0.5236,-0.0084,0.0202,0.1147,0.5116,-0.3487,0.3507
price_vader,2,0.01,1.0,0.5261,-0.0087,0.0313,0.5236,-0.0139,0.0203,0.3375,0.8916,-0.4133,0.455
price_vader,2,0.01,10.0,0.5261,-0.0065,0.0313,0.5472,-0.0116,0.0203,0.1314,0.5466,-0.4654,0.4976
price_roberta,4,0.01,10.0,0.5261,-0.0196,0.0315,0.5283,-0.0153,0.0203,0.3456,0.9086,-0.3572,0.4408
price_finbert,3,0.01,1.0,0.5261,-0.0145,0.0315,0.5283,-0.0169,0.0203,0.4846,1.1452,-0.373,0.4123
all_features,3,0.01,10.0,0.5213,-0.0075,0.0313,0.5425,-0.0101,0.0203,0.0611,0.4241,-0.4763,0.5118
price_only,4,0.05,10.0,0.5213,-0.083,0.032,0.5,-0.0444,0.0206,0.2044,0.7291,-0.2781,0.2749
price_vader,3,0.03,1.0,0.5213,-0.0694,0.0321,0.5377,-0.0267,0.0203,0.116,0.5176,-0.3538,0.3223
price_vader,3,0.05,1.0,0.5213,-0.0946,0.0325,0.4764,-0.0521,0.0207,0.1549,0.6137,-0.2819,0.2891
price_roberta,2,0.01,5.0,0.5213,-0.0103,0.0313,0.5425,-0.0109,0.0202,0.0714,0.44,-0.4937,0.4929
price_finbert,4,0.05,5.0,0.5213,-0.1051,0.0327,0.4434,-0.0485,0.0208,-0.0765,-0.017,-0.47,0.2891
price_finbert,3,0.01,3.0,0.5213,-0.0123,0.0314,0.5236,-0.0155,0.0203,0.3754,0.9756,-0.3653,0.4076
price_vader,2,0.03,3.0,0.5213,-0.0529,0.0317,0.5142,-0.0202,0.0203,0.0841,0.4422,-0.3244,0.3602
price_vader,2,0.03,1.0,0.5213,-0.0666,0.0319,0.5189,-0.0224,0.0203,0.0037,0.2541,-0.3807,0.3507
price_only,6,0.01,5.0,0.5213,-0.0268,0.0316,0.4764,-0.0304,0.0204,0.1206,0.5244,-0.2906,0.3365
all_features,2,0.01,5.0,0.5213,-0.0083,0.0313,0.5472,-0.0093,0.0203,0.0261,0.3598,-0.494,0.5213
all_features,2,0.01,3.0,0.5213,-0.0097,0.0314,0.5472,-0.0122,0.0203,0.0261,0.3598,-0.494,0.5213
all_features,2,0.01,1.0,0.5213,-0.0109,0.0314,0.5425,-0.0131,0.0203,0.0261,0.3598,-0.494,0.5213
all_features,2,0.01,10.0,0.5213,-0.0075,0.0313,0.5472,-0.0069,0.0202,0.0261,0.3598,-0.494,0.5213
all_features,3,0.01,5.0,0.5213,-0.0086,0.0314,0.5425,-0.012,0.0203,0.0608,0.4192,-0.4779,0.4929
all_features,3,0.01,3.0,0.5213,-0.0126,0.0314,0.5377,-0.0127,0.0203,0.1537,0.5843,-0.4932,0.4834
price_vader,4,0.03,3.0,0.5213,-0.0507,0.032,0.533,-0.0415,0.0205,0.3909,1.1152,-0.2781,0.2986
price_only,8,0.01,10.0,0.5213,-0.0222,0.0315,0.5,-0.0272,0.0204,0.2603,0.8138,-0.2566,0.3507
price_only,2,0.03,3.0,0.5213,-0.0794,0.0321,0.5236,-0.0079,0.0202,-0.0564,0.0862,-0.3628,0.3412
price_vader,2,0.05,5.0,0.5213,-0.0751,0.0321,0.5142,-0.0219,0.0202,0.2181,0.7538,-0.3201,0.3081
price_only,4,0.01,3.0,0.5166,-0.0206,0.0315,0.5142,-0.0243,0.0204,0.0764,0.4245,-0.3181,0.346
price_vader,4,0.05,1.0,0.5166,-0.0899,0.0324,0.5047,-0.0498,0.0205,0.0241,0.2802,-0.2937,0.2796
price_only,3,0.03,3.0,0.5166,-0.0738,0.032,0.5,-0.0323,0.0205,0.126,0.5403,-0.2638,0.3033
all_features,3,0.03,10.0,0.5166,-0.0319,0.0317,0.5142,-0.0162,0.0204,0.0497,0.3796,-0.5345,0.4076
all_features,4,0.01,3.0,0.5166,-0.0193,0.0315,0.5283,-0.0147,0.0203,0.1306,0.5418,-0.4518,0.4408
price_only,3,0.05,1.0,0.5166,-0.1157,0.0326,0.4953,-0.0241,0.0205,0.1124,0.5088,-0.2612,0.2701
price_vader,6,0.01,10.0,0.5166,-0.0069,0.0313,0.5283,-0.0182,0.0203,0.625,1.3529,-0.2742,0.3839
price_finbert,4,0.03,10.0,0.5166,-0.0496,0.032,0.4953,-0.0195,0.0204,0.094,0.4626,-0.3623,0.2986
price_finbert,3,0.03,10.0,0.5166,-0.0393,0.0319,0.4811,-0.0204,0.0205,0.2461,0.7917,-0.2519,0.3175
price_roberta,4,0.03,10.0,0.5166,-0.0641,0.0322,0.5047,-0.0257,0.0203,0.0648,0.3961,-0.3856,0.327
price_roberta,2,0.01,3.0,0.5166,-0.0121,0.0313,0.533,-0.01,0.0202,0.015,0.333,-0.5204,0.4882
price_roberta,2,0.03,1.0,0.5166,-0.0829,0.0323,0.4858,-0.0093,0.0202,-0.1855,-0.2289,-0.4459,0.3602
price_roberta,2,0.03,10.0,0.5166,-0.0388,0.0317,0.5377,-0.0135,0.0203,-0.0554,0.1458,-0.441,0.4218
price_finbert,4,0.01,5.0,0.5166,-0.0178,0.0316,0.5094,-0.0184,0.0203,0.2767,0.8246,-0.397,0.3744
price_only,2,0.03,10.0,0.5118,-0.0573,0.0318,0.5425,-0.013,0.0203,0.006,0.2491,-0.3392,0.3365
price_roberta,2,0.03,3.0,0.5118,-0.0746,0.0321,0.4906,-0.012,0.0203,-0.1943,-0.257,-0.4664,0.3649
price_roberta,2,0.05,1.0,0.5118,-0.1183,0.0328,0.5047,0.0025,0.0202,-0.0897,0.0134,-0.4101,0.3175
price_finbert,4,0.05,3.0,0.5118,-0.0988,0.0325,0.4623,-0.0646,0.021,0.0931,0.4598,-0.3844,0.2891
