feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
price_only,8,0.03,5.0,0.5592,0.0048,0.0311,0.5142,-0.0105,0.0202
price_only,8,0.03,1.0,0.5498,0.0052,0.0311,0.5377,-0.004,0.0201
price_only,8,0.05,1.0,0.5498,0.0144,0.031,0.5189,-0.0101,0.0202
price_finbert,8,0.05,5.0,0.545,0.0012,0.0312,0.5472,-0.0091,0.0202
price_only,4,0.01,10.0,0.545,-0.0016,0.0312,0.5472,-0.0067,0.0202
price_only,8,0.03,3.0,0.545,0.0064,0.0311,0.5425,-0.0033,0.0201
price_only,8,0.03,10.0,0.545,0.0049,0.0311,0.533,-0.0023,0.0201
price_roberta,4,0.05,1.0,0.5403,-0.0001,0.0312,0.5472,-0.0034,0.0202
price_finbert,8,0.01,1.0,0.5355,-0.002,0.0312,0.5472,-0.007,0.0202
price_only,8,0.05,5.0,0.5355,0.0037,0.0311,0.5283,-0.0061,0.0202
price_only,6,0.03,3.0,0.5355,0.0001,0.0312,0.5472,-0.0035,0.0202
price_only,4,0.01,5.0,0.5355,-0.0023,0.0312,0.5472,-0.0075,0.0202
price_only,4,0.05,1.0,0.5355,-0.0001,0.0312,0.5472,-0.0028,0.0202
price_only,6,0.05,3.0,0.5355,0.0044,0.0311,0.533,-0.0063,0.0202
price_finbert,8,0.05,1.0,0.5308,-0.0023,0.0312,0.5566,-0.0087,0.0203
price_only,4,0.03,10.0,0.5308,0.0004,0.0312,0.5472,-0.0074,0.0202
price_only,6,0.03,5.0,0.5308,0.0015,0.0311,0.5472,-0.0031,0.0202
price_only,4,0.05,10.0,0.5308,0.0017,0.0311,0.5283,-0.0087,0.0202
price_vader,8,0.05,10.0,0.5308,0.0028,0.0313,0.5047,-0.0214,0.0204
price_only,8,0.01,1.0,0.5308,0.0031,0.0311,0.533,-0.0057,0.0202
price_finbert,3,0.03,1.0,0.5308,-0.0022,0.0312,0.5472,-0.0017,0.0202
price_vader,6,0.05,1.0,0.5261,-0.0012,0.0312,0.5472,-0.002,0.0202
price_vader,3,0.05,1.0,0.5261,0.0013,0.0312,0.5377,-0.0146,0.0203
price_only,4,0.05,3.0,0.5261,-0.0008,0.0312,0.5472,-0.0062,0.0202
price_vader,3,0.05,3.0,0.5261,-0.0002,0.0312,0.5425,-0.0101,0.0203
price_vader,3,0.03,10.0,0.5261,-0.0018,0.0312,0.5472,-0.0061,0.0202
price_only,8,0.05,10.0,0.5261,0.0049,0.0311,0.5472,0.0038,0.0201
price_only,6,0.05,10.0,0.5261,-0.0005,0.0312,0.5472,-0.002,0.0202
price_vader,2,0.03,10.0,0.5261,-0.002,0.0312,0.5472,-0.0121,0.0202
price_finbert,6,0.03,1.0,0.5261,-0.002,0.0313,0.5472,-0.0069,0.0203
all_features,6,0.05,3.0,0.5261,0.0006,0.0312,0.5472,-0.0106,0.0202
price_only,4,0.01,3.0,0.5261,-0.0012,0.0312,0.5472,-0.0074,0.0202
price_only,4,0.01,1.0,0.5261,-0.0019,0.0312,0.5472,-0.0023,0.0202
price_vader,4,0.05,1.0,0.5261,-0.0002,0.0312,0.5472,-0.0016,0.0202
all_features,8,0.03,10.0,0.5261,-0.0019,0.0312,0.5472,-0.0042,0.0202
price_roberta,4,0.05,10.0,0.5261,0.0023,0.0312,0.5472,-0.0051,0.0202
price_only,6,0.05,1.0,0.5261,0.0008,0.0311,0.5377,-0.0016,0.0202
price_only,6,0.05,5.0,0.5261,0.0013,0.0311,0.5425,-0.0039,0.0202
price_roberta,8,0.03,10.0,0.5261,-0.0025,0.0313,0.5472,-0.0009,0.0202
price_finbert,8,0.03,1.0,0.5261,-0.002,0.0313,0.5566,-0.0068,0.0202
price_finbert,8,0.03,3.0,0.5261,-0.0015,0.0312,0.5472,-0.0029,0.0202
price_only,6,0.03,1.0,0.5261,0.0016,0.0311,0.5472,-0.0061,0.0202
price_only,6,0.03,10.0,0.5261,0.0002,0.0312,0.5425,-0.0076,0.0202
price_vader,6,0.01,1.0,0.5261,-0.0021,0.0312,0.5377,-0.0091,0.0203
price_vader,3,0.03,5.0,0.5213,-0.0024,0.0312,0.5472,-0.0008,0.0202
price_vader,3,0.03,1.0,0.5213,0.0013,0.0312,0.5472,-0.0104,0.0203
price_vader,3,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0015,0.0202
